disease	name	symptoms	symptomNames
ACHALASIA_ADDISONIANISM_ALACRIMA_SYNDROME	achalasia-addisonianism-alacrima syndrome (AAA syndrome, triple-A syndrome, Allgrove syndrome)	(SHORT_STATURE HYPERKERATOSIS)	(short stature hyperkeratosis)
MARINESCO_SJOEGREN_SYNDROME	Marinesco-Sjoegren syndrome	(NYSTAGMUS STRABISMUS DYSARTHRIA SHORT_STATURE MENTAL_RETARDATION CATARACTS)	(nystagmus strabismus dysarthria short stature mental retardation; developmental intellectual disorder cataracts)
SUDDEN_INFANT_DEATH_WITH_DYSGENESIS_OF_THE_TESTES_SYNDROME	sudden infant death with dysgenesis of the testes syndrome (SIDDT)	(BRONCHOSPASM LARYNGOSPASM HYPOTHERMIA BRADYARRHYTHMIA)	(bronchospasm laryngospasm hypothermia bradyarrhythmia (bradycardia))
VISCERAL_HETEROTAXY	visceral heterotaxy	(DEXTROCARDIA ATRIAL_SEPTAL_DEFECT VENTRICULAR_SEPTAL_DEFECT TRANSPOSITION_OF_THE_GREAT_VESSELS SITUS_INVERSUS CONGENITAL_ANOMALY)	(dextrocardia atrial septal defect (ASD) ventricular septal defect transposition of the great vessels situs inversus congenital anomaly (birth defect))
MIRROR_IMAGE_POLYDACTYLY_OF_HANDS_&_FEET_WITHOUT_OTHER_ANOMALIES	mirror-image polydactyly of hands & feet without other anomalies	(ANOMALY)	(anomaly)
PCC_SYNDROME	PCC syndrome; premature chromosome condensation with microcephaly & mental retardation	(SHORT_STATURE MICROCEPHALY)	(short stature microcephaly)
SMITH_MAGENIS_SYNDROME	Smith-Magenis syndrome	(BRACHYDACTYLY SHORT_STATURE ANOMALY SLEEP_DISORDER SELF_INJURIOUS_BEHAVIOR MENTAL_RETARDATION)	(brachydactyly short stature anomaly sleep disorder self-injurious behavior mental retardation; developmental intellectual disorder)
DYGGVE_MELCHIOR_CLAUSEN_SYNDROME	Dyggve-Melchior-Clausen syndrome	(MICROCEPHALY)	(microcephaly)
PETERS_PLUS_SYNDROME	Peters-plus syndrome	(CLEFT_LIP SHORT_STATURE)	(cleft lip short stature)
PELIZAEUS_MERZBACHER_LIKE_DISEASE	Pelizaeus-Merzbacher-like disease	(SPASTICITY DYSARTHRIA ATAXIA NYSTAGMUS)	(spasticity dysarthria ataxia nystagmus)
CRYPTOPHTHALMOS_SYNDROME	cryptophthalmos syndrome (Fraser syndrome)	(SYNDACTYLY)	(syndactyly)
MECKEL_SYNDROME	Meckel syndrome	(POLYDACTYLY)	(polydactyly)
STAPES_ANKYLOSIS_WITH_BROAD_THUMB_&_TOES	stapes ankylosis with broad thumb & toes	(ANOMALY HYPEROPIA)	(anomaly hyperopia (hypermetropia, farsightedness))
TARSAL_CARPAL_COALITION_SYNDROME	tarsal-carpal coalition syndrome	(BRACHYDACTYLY)	(brachydactyly)
FOLATE_SENSITIVE_FRAGILE_SITE_FRA10A_EXPRESSION	folate-sensitive fragile site FRA10A expression	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
JUVENILE_HYALINE_FIBROMATOSIS	juvenile hyaline fibromatosis	(OSTEOPENIA HYPERTROPHY)	(osteopenia hypertrophy)
INFANTILE_SYSTEMIC_HYALINOSIS	infantile systemic hyalinosis	(DIARRHEA HYPERTROPHY HYPERPIGMENTATION OSTEOPENIA)	(diarrhea hypertrophy hyperpigmentation osteopenia)
WOLF_HIRSCHHORN_SYNDROME	Wolf-Hirschhorn syndrome	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
ORAL_FACIAL_DIGITAL_SYNDROME	oral-facial-digital syndrome	(MENTAL_RETARDATION SYNDACTYLY CLINODACTYLY BRACHYDACTYLY POSTAXIAL_POLYDACTYLY)	(mental retardation; developmental intellectual disorder syndactyly clinodactyly brachydactyly postaxial polydactyly)
RENPENNING_SYNDROME_1	Renpenning syndrome 1; Sutherland-Haan X-linked mental retardation syndrome; X-linked mental retardation syndromes MRXS3/MRXS8/MRX55	(CLEFT_PALATE SHORT_STATURE MICROCEPHALY MENTAL_RETARDATION)	(cleft palate short stature microcephaly mental retardation; developmental intellectual disorder)
MALE_PSEUDOHERMAPHRODISM_WITH_GYNECOMASTIA	male pseudohermaphrodism with gynecomastia	(VIRILISM)	(virilism)
COLD_INDUCED_SWEATING_SYNDROME	cold-induced sweating syndrome (CISS)	(DIAPHORESIS)	(diaphoresis)
AICARDI_GOUTIERES_SYNDROME	Aicardi-Goutieres syndrome; pseudo-TORCH syndrome; Cree encephalitis	(DYSTONIA SPASTICITY MICROCEPHALY FEVER)	(dystonia spasticity microcephaly fever)
CONTIGUOUS_ABCD1/DXS1375E_DELETION_SYNDROME	contiguous ABCD1/DXS1375E deletion syndrome (CADDS)	(CHOLESTASIS FAILURE_TO_THRIVE HYPOTONIA)	(cholestasis failure to thrive hypotonia)
CORTICAL_DYSPLASIA_FOCAL_EPILEPSY_SYNDROME	cortical dysplasia-focal epilepsy syndrome (CDFE syndrome)	(SEIZURE HYPERACTIVITY MENTAL_RETARDATION AGGRESSION DEEP_TENDON_REFLEX MACROCEPHALY EPILEPSY)	(seizure; epileptic seizure hyperactivity mental retardation; developmental intellectual disorder aggression deep tendon reflex (DTR) macrocephaly epilepsy)
3P_DELETION_SYNDROME	3p deletion syndrome	(MENTAL_RETARDATION GROWTH_RETARDATION)	(mental retardation; developmental intellectual disorder growth retardation)
ROBERTS_SYNDROME	Roberts syndrome (RBS)	(CLEFT_LIP MICROCEPHALY GROWTH_RETARDATION)	(cleft lip microcephaly growth retardation)
ENHANCED_S_CONE_SYNDROME	enhanced S cone syndrome (ESCS); Goldmann-Favre syndrome; retinoschisis with early hemeralopia	(NIGHT_BLINDNESS VISUAL_IMPAIRMENT)	(night blindness (nyctalopia, nocturnal amblyopia, nyctanopia) visual impairment)
3M_SYNDROME	3M syndrome	(GROWTH_RETARDATION)	(growth retardation)
MUSCLE_EYE_BRAIN_DISEASE	muscle-eye-brain disease (MEB)	(GENERALIZED_MUSCLE_WEAKNESS HYDROCEPHALUS MENTAL_RETARDATION PALLOR MYOPIA)	(generalized muscle weakness hydrocephalus mental retardation; developmental intellectual disorder pallor myopia)
WOLCOTT_RALLISON_SYNDROME	Wolcott-Rallison syndrome (WRS); multiple epiphyseal dysplasia with early-onset diabetes mellitus	(MENTAL_RETARDATION GROWTH_RETARDATION)	(mental retardation; developmental intellectual disorder growth retardation)
WEAVER_SYNDROME	Weaver-Smith syndrome	(CAMPTODACTYLY HYPERTONIA HOARSENESS)	(camptodactyly hypertonia hoarseness)
DESMOSTEROLOSIS	desmosterolosis	(OSTEOSCLEROSIS AMBIGUOUS_GENITALIA ANOMALY CLEFT_PALATE MACROCEPHALY CONGENITAL_ANOMALY)	(osteosclerosis ambiguous genitalia anomaly cleft palate macrocephaly congenital anomaly (birth defect))
PAPA_SYNDROME	PAPA syndrome; pyogenic sterile arthritis, pyoderma gangrenosum, & acne; familial recurrent arthritis	(ACNE PYODERMA_GANGRENOSUM INFLAMMATION ARTHRITIS)	(acne pyoderma gangrenosum inflammation arthritis)
SECKEL_SYNDROME	Seckel syndrome	(MICROCEPHALY MENTAL_RETARDATION GROWTH_RETARDATION)	(microcephaly mental retardation; developmental intellectual disorder growth retardation)
MULIBREY_NANISM	Mulibrey nanism (muscle-liver-brain-eye nanism, pericardial constriction & growth failure)	(HYPOTONIA GROWTH_RETARDATION)	(hypotonia growth retardation)
ROTHMUND_THOMSON_SYNDROME	Rothman-Thomson syndrome	(CATARACTS ATROPHY)	(cataracts atrophy)
BORJESON_FORSSMAN_LEHMANN_SYNDROME	Borjeson-Forssman-Lehmann syndrome	(FAILURE_TO_THRIVE MENTAL_RETARDATION EDEMA SHORT_STATURE OBESITY EPILEPSY)	(failure to thrive mental retardation; developmental intellectual disorder edema (swelling) short stature obesity epilepsy)
ELEJALDE_SYNDROME	Elejalde syndrome; neuroectodermal melanolysosomal disease	(HYPOPIGMENTATION)	(hypopigmentation)
OSLER_WEBER_RENDU_SYNDROME_2	Osler-Weber-Rendu syndrome 2; hereditary hemorrhagic telangiectasia type 2 (HHT2, ORW2)	(GASTROINTESTINAL_HEMORRHAGE EPISTAXIS)	(gastrointestinal hemorrhage epistaxis (nose bleed))
CHERUBISM	cherubism	(EDEMA)	(edema (swelling))
NETHERTON_SYNDROME	Netherton syndrome	(FAILURE_TO_THRIVE CONGENITAL_ICHTHYOSIFORM_ERYTHRODERMA TRICHORRHEXIS_NODOSA)	(failure to thrive congenital ichthyosiform erythroderma trichorrhexis nodosa)
KINDLER_SYNDROME	Kindler syndrome (hereditary acrokeratotic poikiloderma)	(ATROPHY POIKILODERMA)	(atrophy poikiloderma)
WEISSENBACHER_ZWEYMULLER_SYNDROME	Weissenbacher-Zweymuller syndrome	(HEARING_LOSS)	(hearing loss (hearing impairment, hard of hearing, HOH))
JENSEN_SYNDROME	Jensen syndrome; opticoacoustic nerve atrophy with dementia	(MUSCLE_WEAKNESS DEMENTIA BLINDNESS VISUAL_IMPAIRMENT DEAFNESS SENSORINEURAL_HEARING_LOSS)	(muscle weakness dementia blindness visual impairment deafness sensorineural hearing loss)
DYSTONIA_DEAFNESS_SYNDROME	dsytonia deafness syndrome; Mohr-Traneberg syndrome; deafness-dystonia-optic atrophy syndrome; X-linked progressive deafness type 1	(PARANOIA DYSTONIA DYSPHAGIA SPASTICITY HEARING_LOSS DEAFNESS)	(paranoia dystonia dysphagia (swallowing disorder) spasticity hearing loss (hearing impairment, hard of hearing, HOH) deafness)
CEREBRO_OCULO_FACIO_SKELETAL_SYNDROME	cerebro-oculo-facio-skeletal syndrome (COFS); Pena Shokeir 2 syndrome; Cockayne syndrome type 2	(MENTAL_RETARDATION CATARACTS VISUAL_IMPAIRMENT MICROGNATHIA MICROCEPHALY)	(mental retardation; developmental intellectual disorder cataracts visual impairment micrognathia microcephaly)
SOTO^S_SYNDROME	Soto's syndrome (cerebral gigantism)	(IRRITABILITY ATAXIA HYPERTELORISM SPEECH_IMPAIRMENT HYPOTONIA)	(irritability (impatience, hyperexcitability) ataxia hypertelorism speech impairment hypotonia)
COFFIN_LOWRY_SYNDROME	Coffin-Lowry syndrome	(PES_PLANUS HEARING_LOSS HYPERTELORISM MENTAL_RETARDATION SHORT_STATURE HYPOTONIA)	(pes planus hearing loss (hearing impairment, hard of hearing, HOH) hypertelorism mental retardation; developmental intellectual disorder short stature hypotonia)
PENDRED_SYNDROME	Pendred syndrome (goiter-deafness syndrome)	(GOITER DEAFNESS SENSORINEURAL_HEARING_LOSS)	(goiter deafness sensorineural hearing loss)
WOLFRAM_SYNDROME_2	Wolfram syndrome 2	(HEMORRHAGE ULCER)	(hemorrhage (bleeding) ulcer)
WOLFRAM_SYNDROME	Wolfram syndrome; diabetes insipidus & mellitus with optic atrophy & deafness syndrome (DIDMOAD)	(DEAFNESS)	(deafness)
CEREBRAL_PALSY	cerebral palsy	(QUADRIPLEGIA HEMIPLEGIA SPASTIC_PARAPLEGIA PARAPLEGIA EPILEPSY MENTAL_RETARDATION ATHETOSIS CEREBELLAR_TREMOR ATAXIA CHOREOATHETOSIS DYSARTHRIA WEAKNESS DEEP_TENDON_REFLEX SPASTICITY)	(quadriplegia hemiplegia (HP) spastic paraplegia paraplegia epilepsy mental retardation; developmental intellectual disorder athetosis cerebellar (intention) tremor ataxia choreoathetosis dysarthria weakness deep tendon reflex (DTR) spasticity)
URBACH_WIETH_DISEASE	Urbach-Wieth disease (lipoid proteinosis, hyalinosis cutis et mucosae)	(SEIZURE HOARSENESS)	(seizure; epileptic seizure hoarseness)
SHWACHMAN_DIAMOND_SYNDROME	Shwachman-Bodian-Diamond syndrome	(SHORT_STATURE)	(short stature)
HARTNUP_DISEASE	Hartnup disease	(CEREBELLAR_ATAXIA RASH)	(cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria) rash)
LOWE^S_OCULOCEREBRORENAL_SYNDROME	Lowe's oculocerebrorenal syndrome	(SIGN/SYMPTOM HYPERMOBILITY HYPOPHOSPHATEMIA RENAL_TUBULAR_ACIDOSIS AREFLEXIA HYPOTONIA BLURRY_VISION MENTAL_RETARDATION CATARACTS)	(sign/symptom hypermobility hypophosphatemia renal tubular acidosis (RTA) areflexia hypotonia blurry vision (decreased visual acuity, DVA) mental retardation; developmental intellectual disorder cataracts)
XXXXX_SYNDROME	XXXXX syndrome	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
XXXY_SYNDROME	XXXY syndrome	(SYNOSTOSIS MENTAL_RETARDATION)	(synostosis mental retardation; developmental intellectual disorder)
THROMBOCYTOPENIA_ABSENT_RADIUS	thrombocytopenia-absent radius (TAR) syndrome	(TETRALOGY_OF_FALLOT ATRIAL_SEPTAL_DEFECT)	(tetralogy of Fallot atrial septal defect (ASD))
HYPOMELANOSIS_OF_ITO	hypomelanosis of Ito (incontinentia pigmenti achromians)	(HYPERTELORISM STRABISMUS MENTAL_RETARDATION SEIZURE HYPOPIGMENTATION)	(hypertelorism strabismus mental retardation; developmental intellectual disorder seizure; epileptic seizure hypopigmentation)
LIDDLE^S_SYNDROME	Liddle's syndrome (pseudohyperaldosteronism)	(HYPERTENSION)	(hypertension (HTN, high blood pressure, HBP))
TURNER_SYNDROME	Turner syndrome (ovarian agenesis)	(SHORT_STATURE AMENORRHEA)	(short stature amenorrhea (oligomenorrhea))
MARFAN_SYNDROME	Marfan syndrome	(OBSTRUCTIVE_SLEEP_APNEA DISSECTING_AORTIC_ANEURYSM EMPHYSEMA CATARACTS MYOPIA ECTOPIA_LENTIS MALOCCLUSION_OF_TEETH SIGN/SYMPTOM)	(obstructive sleep apnea (OSA) dissecting aortic aneurysm (acute aortic syndrome) emphysema cataracts myopia ectopia lentis malocclusion of teeth sign/symptom)
HEREDITARY_ANGIOEDEMA	hereditary angioedema; hereditary angioneurotic edema (HANE)	(EDEMA)	(edema (swelling))
KABUKI_SYNDROME_TYPE_2	Kabuki syndrome type 2	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
KABUKI_SYNDROME_TYPE_1	Kabuki syndrome type 1	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
3MC_SYNDROME_TYPE_1	3MC syndrome type 1	(ANOMALY CRANIOSYNOSTOSIS CLEFT_LIP CLEFT_PALATE BLEPHAROPTOSIS BLEPHAROPHIMOSIS HYPERTELORISM)	(anomaly craniosynostosis cleft lip cleft palate blepharoptosis; ptosis; lid lag blepharophimosis hypertelorism)
MULTIPLE_SYNOSTOSES_SYNDROME_1	multiple synostoses syndrome 1 (SYNS1); synostoses, multiple, with brachydactyly; symphalangism-brachydactyly syndrome	(ANKYLOSIS DEAFNESS)	(ankylosis deafness)
PAROXYSMAL_EXTREME_PAIN_DISORDER	paroxysmal extreme pain disorder (familial rectal pain)	(PAIN PARESTHESIA FLUSHING)	(pain [odyn-] paresthesia flushing (vasomotor flushing))
FAMILIAL_HEMIPLEGIC_MIGRAINE_TYPE_3	familial hemiplegic migraine type 3 (FHM3)	(FAMILIAL_HEMIPLEGIC_MIGRAINE_TYPE_3 BLINDNESS CEREBELLAR_ATAXIA NAUSEA VOMITING PHONOPHOBIA PHOTOPHOBIA MIGRAINE_HEADACHE HEMIPARESIS)	(familial hemiplegic migraine type 3 (FHM3) blindness cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria) nausea vomiting phonophobia photophobia migraine headache hemiparesis)
OTOPALATODIGITAL_SYNDROME_TYPE_1	otopalatodigital syndrome type-1 (OPD1)	(DEAFNESS ANOMALY CLEFT_PALATE HEARING_LOSS MENTAL_RETARDATION CONGENITAL_ANOMALY)	(deafness anomaly cleft palate hearing loss (hearing impairment, hard of hearing, HOH) mental retardation; developmental intellectual disorder congenital anomaly (birth defect))
OTOPALATODIGITAL_SYNDROME_TYPE_2	otopalatodigital syndrome type-2; cranioorodigital syndrome (OPD2)	(ANOMALY OMPHALOCELE CLEFT_PALATE)	(anomaly omphalocele cleft palate)
MELNICK_NEEDLES_SYNDROME	Melnick-Needles syndrome	(SCLEROSIS MICROGNATHIA EXOPHTHALMOS)	(sclerosis micrognathia exophthalmos (proptosis))
FRONTOMETAPHYSEAL_DYSPLASIA	frontometaphyseal dysplasia	(DEAFNESS ANOMALY)	(deafness anomaly)
CARPENTER_SYNDROME	Carpenter syndrome (acrocephalopolysyndactyly type 2)	(OBESITY POLYSYNDACTYLY CRANIOSYNOSTOSIS)	(obesity polysyndactyly craniosynostosis)
BRANCHIOOTORENAL_SYNDROME	branchiootorenal syndrome; branchio-oto-renal syndrome; BOR syndrome; Melnick-Fraser syndrome	(HEARING_LOSS MYOPIA ASTHENIA)	(hearing loss (hearing impairment, hard of hearing, HOH) myopia asthenia)
VOHWINKEL_SYNDROME_WITH_ICHTHYOSIS	Vohwinkel syndrome with ichthyosis; Loricrin keratoderma; mutilating keratoderma with ichthyosis	(HYPERKERATOSIS CONGENITAL_ICHTHYOSIFORM_ERYTHRODERMA)	(hyperkeratosis congenital ichthyosiform erythroderma)
LOEYS_DIETZ_SYNDROME_TYPE_1A	Loeys-Dietz syndrome type 1A; Furlong syndrome; Loeys-Dietz aortic aneurysm syndrome (LDS1A, LDS1)	(CONGENITAL_HEART_DEFECT COGNITIVE_IMPAIRMENT RETROGNATHIA MICROGNATHIA CLEFT_PALATE HYPERTELORISM CRANIOSYNOSTOSIS)	(congenital heart defect cognitive impairment retrognathia micrognathia cleft palate hypertelorism craniosynostosis)
LOEYS_DIETZ_SYNDROME_TYPE_1B	Loeys-Dietz syndrome type 1B (LDS1B)	(CONGENITAL_HEART_DEFECT COGNITIVE_IMPAIRMENT RETROGNATHIA MICROGNATHIA CLEFT_PALATE HYPERTELORISM CRANIOSYNOSTOSIS)	(congenital heart defect cognitive impairment retrognathia micrognathia cleft palate hypertelorism craniosynostosis)
LOEYS_DIETZ_SYNDROME_TYPE_2A	Loeys-Dietz syndrome type 2A (LDS2A)	(RUPTURED_SPLEEN ATROPHY)	(ruptured spleen atrophy)
LOEYS_DIETZ_SYNDROME_TYPE_2B	Loeys-Dietz syndrome type 2B (LDS2B); Marfan syndrome type 2	(RUPTURED_SPLEEN ATROPHY)	(ruptured spleen atrophy)
MULTICENTRIC_OSTEOLYSIS_NODULOSIS_&_ARTHROPATHY	multicentric osteolysis nodulosis & arthropathy (MONA); nodularis arthropathy-osteolysis syndrome (NAO syndrome)	(ARTHRITIS)	(arthritis)
WINCHESTER_SYNDROME	Winchester syndrome	(HYPERTROPHY HYPERTRICHOSIS HYPERPIGMENTATION OSTEOPENIA)	(hypertrophy hypertrichosis hyperpigmentation osteopenia)
FAMILIAL_EXPANSILE_OSTEOLYSIS	familial expansile osteolysis	(DEAFNESS)	(deafness)
MICROCORIA_CONGENITAL_NEPHROTIC_SYNDROME	microcoria-congenital nephrotic syndrome (Pierson syndrome)	(SCLEROSIS)	(sclerosis)
AUTOSOMAL_RECESSIVE_SEGAWA_SYNDROME	autosomal recessive Segawa syndrome (autosomal recessive DOPA-responsive dystonia, includes: autosomal recessive infantile parkinsonism)	(SPASTICITY DIFFICULTY_WALKING)	(spasticity difficulty walking)
END_PLATE_ACETYLCHOLINESTERASE_DEFICIENCY	end-plate acetylcholinesterase deficiency (congenital myasthenic syndrome type 1C)	(GENERALIZED_MUSCLE_WEAKNESS)	(generalized muscle weakness)
CRANIOMETAPHYSEAL_DYSPLASIA_JACKSON_TYPE	craniometaphyseal dysplasia Jackson type	(DEAFNESS BELL^S_PALSY VISUAL_IMPAIRMENT)	(deafness Bell's palsy; cranial nerve 7 palsy; facial nerve palsy visual impairment)
VISCERAL_HETEROTAXY_X_LINKED_TYPE_1	visceral heterotaxy X-linked type 1	(SITUS_INVERSUS_VISCERUM PATENT_DUCTUS_ARTERIOSUS VENTRICULAR_SEPTAL_DEFECT DEXTROCARDIA)	(situs inversus viscerum (situs inversus totalis) patent ductus arteriosus ventricular septal defect dextrocardia)
COSTEFF_OPTIC_ATROPHY_SYNDROME	Costeff optic atrophy syndrome; 3-methylglutaconic aciduria type 3; optic atrophy plus syndrome	(COGNITIVE_IMPAIRMENT SPASTICITY)	(cognitive impairment spasticity)
PYODERMA_GANGRENOSUM	pyoderma gangrenosum	(ULCER INFLAMMATION ERYTHEMA)	(ulcer inflammation erythema)
ATHETOID_CEREBRAL_PALSY	athetoid cerebral palsy (dyskinetic cerebral palsy)	(DYSARTHRIA HYPOTONIA HYPERTONIA)	(dysarthria hypotonia hypertonia)
CEREBRAL_PALSY_SPASTIC_QUADRIPLEGIC_TYPE_2	cerebral palsy spastic quadriplegic type 2	(SPASTICITY NYSTAGMUS HYPOTONIA QUADRIPLEGIA MENTAL_RETARDATION)	(spasticity nystagmus hypotonia quadriplegia mental retardation; developmental intellectual disorder)
NEPHROTIC_SYNDROME	nephrotic syndrome	(HEMATURIA ENDOCARDITIS HEPATITIS HEPATOSPLENOMEGALY DIABETIC_RETINOPATHY SIGN/SYMPTOM HYPERTENSION THROMBOEMBOLISM RENAL_VEIN_THROMBOSIS ASCITES LOWER_EXTREMITY_EDEMA PERIORBITAL_EDEMA EDEMA ANASARCA)	(hematuria endocarditis hepatitis hepatosplenomegaly diabetic retinopathy (DR, proliferative {PDR} & non-proliferative) sign/symptom hypertension (HTN, high blood pressure, HBP) thromboembolism renal vein thrombosis ascites lower extremity edema periorbital edema edema (swelling) anasarca)
NEPHROTIC_SYNDROME_TYPE_1	familial nephrotic syndrome type-1 (Finnish congenital nephrosis, congenital nephrotic syndrome of the Finnish type)	(PROTEINURIA)	(proteinuria)
STEATOSIS	steatosis (fatty liver, nonalcoholic fatty liver disease, NAFLD)	(MALAISE FATIGUE)	(malaise fatigue; lassitude; tiredness)
FATTY_LIVER_OF_PREGNANCY	fatty liver of pregnancy	(PRE_ECLAMPSIA JAUNDICE ABDOMINAL_PAIN NAUSEA)	(pre-eclampsia/eclampsia jaundice (icterus) abdominal pain nausea)
BARTTER_SYNDROME	Bartter syndrome	(NOCTURIA POLYURIA)	(nocturia polyuria)
BARTTER_SYNDROME_CLCNKB	Bartter syndrome type 3 (classic Bartter syndrome)	(HYPOTENSION)	(hypotension)
BARTTER_SYNDROME_SLC12A1	Bartter syndrome type 1 (SLC12A1 linked)	(POLYURIA POLYHYDRAMNIOS)	(polyuria polyhydramnios (hydramnios))
PRIMARY_HYPERALDOSTERONISM	primary hyperaldosteronism (Conn's syndrome)	(HYPOKALEMIA HYPERTENSION)	(hypokalemia hypertension (HTN, high blood pressure, HBP))
AUTOIMMUNE_POLYENDOCRINOPATHY_CANDIDIASIS_ECTODERMAL_DYSTROPHY	autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy (APECED); autoimmune polyglandular syndrome type 1; Whitaker's syndrome	(ALOPECIA DYSTROPHY HEPATITIS HYPOTHYROIDISM HYPOPARATHYROIDISM)	(alopecia (hair loss, balding) dystrophy hepatitis hypothyroidism hypoparathyroidism)
HEMOPHAGOCYTIC_LYMPHOHISTIOCYTOSIS	hemophagocytic lymphohistiocytosis; hemophagocytic syndrome	(HEPATOSPLENOMEGALY FEVER)	(hepatosplenomegaly fever)
PARANEOPLASTIC_PHOTORECEPTOR_RETINAL_DEGENERATION	paraneoplastic photoreceptor retinal degeneration	(BLINDNESS VISUAL_IMPAIRMENT)	(blindness visual impairment)
PARANEOPLASTIC_CEREBELLAR_DEGENERATION	paraneoplastic cerebellar degeneration	(COGNITIVE_IMPAIRMENT VERTIGO DIZZINESS NYSTAGMUS ATAXIA DYSARTHRIA)	(cognitive impairment vertigo dizziness nystagmus ataxia dysarthria)
CARCINOID_SYNDROME	carcinoid syndrome	(CYANOSIS WHEEZE BRONCHOCONSTRICTION HYPOTENSION NAUSEA VOMITING ABDOMINAL_CRAMPING DIARRHEA FLUSHING CARCINOID_TRIAD)	(cyanosis wheeze bronchoconstriction hypotension nausea vomiting abdominal cramping diarrhea flushing (vasomotor flushing) carcinoid triad)
PARANEOPLASTIC_SUBACUTE_SENSORY_NEURONOPATHY	paraneoplastic subacute sensory neuronopathy	(PAIN PARESTHESIA ATAXIA AREFLEXIA LOSS_OF_SENSATION)	(pain [odyn-] paresthesia ataxia areflexia loss of sensation)
KEARNS_SAYRE_SYNDROME	Kearns-Sayre syndrome (KSS)	(SEIZURE COGNITIVE_IMPAIRMENT ATAXIA HEARING_LOSS SHORT_STATURE MUSCLE_WEAKNESS BLEPHAROPTOSIS RETINITIS_PIGMENTOSA EXTERNAL_OPHTHALMOPLEGIA)	(seizure; epileptic seizure cognitive impairment ataxia hearing loss (hearing impairment, hard of hearing, HOH) short stature muscle weakness blepharoptosis; ptosis; lid lag retinitis pigmentosa (RP) external ophthalmoplegia; progressive external ophthalmoplegia (PEO))
MYOPATHIC_MITOCHONDRIAL_DNA_DEPLETION_SYNDROME	myopathic mitochondrial DNA depletion syndrome	(DIARRHEA SEIZURE HYPOTONIA DYSPNEA)	(diarrhea seizure; epileptic seizure hypotonia dyspnea (shortness of breath {SOB}))
MITOCHONDRIAL_DNA_DEPLETION_SYNDROME_11	mitochondrial DNA depletion syndrome 11	(MUSCULAR_ATROPHY MUSCLE_WEAKNESS EXTERNAL_OPHTHALMOPLEGIA)	(muscle atrophy (amyotrophy) muscle weakness external ophthalmoplegia; progressive external ophthalmoplegia (PEO))
MITOCHONDRIAL_DNA_DEPLETION_SYNDROME_TYPE_3	mitochondrial DNA depletion syndrome type 3	(HYPOTONIA HYPOGLYCEMIA)	(hypotonia hypoglycemia)
MEGALENCEPHALIC_LEUKOENCEPHALOPATHY_WITH_SUBCORTICAL_CYSTS	megalencephalic leukoencephalopathy with subcortical cysts	(SPASTICITY ATAXIA MACROCEPHALY)	(spasticity ataxia macrocephaly)
REVERSIBLE_POSTERIOR_LEUKOENCEPHALOPATHY_SYNDROME	reversible posterior leukoencephalopathy syndrome (RPLS)	(FLUID_RETENTION HYPERTENSION SEIZURE HEADACHE BLINDNESS CONFUSION)	(fluid retention hypertension (HTN, high blood pressure, HBP) seizure; epileptic seizure headache blindness confusion)
DELIRIUM	delirium (acute confusional state)	(PERSPIRATION PALLOR FLUSHING HYPOTENSION HYPERTENSION BRADYARRHYTHMIA TACHYARRHYTHMIA TREMOR MYOCLONUS ASTERIXIS DYSARTHRIA INCOHERENT_SPEECH PERSONALITY_CHANGE ANXIETY DEPRESSION EMOTIONAL_LABILITY PARANOIA DELUSION AGITATION HALLUCINATION MEMORY_IMPAIRMENT COGNITIVE_IMPAIRMENT INATTENTION)	(perspiration (sweating) pallor flushing (vasomotor flushing) hypotension hypertension (HTN, high blood pressure, HBP) bradyarrhythmia (bradycardia) tachyarrhythmia (tachycardia) tremor myoclonus asterixis (liver flap) dysarthria incoherent speech personality change anxiety depression emotional lability; asthenic disorder paranoia delusion agitation hallucination memory impairment cognitive impairment inattention (attention disorder))
RASMUSSEN^S_ENCEPHALITIS	Rasmussen's encephalitis	(SEIZURE WEAKNESS)	(seizure; epileptic seizure weakness)
RASSMUSEN^S_ENCEPHALITIS	Rassmusen's encephalitis	(DEMENTIA HEMIPARESIS ENCEPHALITIS APHASIA SEIZURE)	(dementia hemiparesis encephalitis aphasia seizure; epileptic seizure)
ENCEPHALITIS_LETHARGICA	encephalitis lethargica; sleeping sickness; von Economo's disease	(HEADACHE IRRITATION SOMNOLENCE FEVER)	(headache irritation somnolence (sleepiness) fever)
ENCEPHALOMYELITIS	encephalomyelitis	(HEMIPLEGIA MONOPARESIS WEIGHT_LOSS VOMITING TRANSVERSE_MYELITIS OPTIC_NEURITIS ATAXIA FEVER NUCHAL_RIGIDITY SEIZURE HEADACHE)	(hemiplegia (HP) monoparesis weight loss vomiting transverse myelitis optic neuritis ataxia fever nuchal rigidity (neck stiffness) seizure; epileptic seizure headache)
